company_name,domain,linkedin_company_url,source,timestamp
Chatsheet,https://chatsheet.com/,https://www.linkedin.com/company/chatsheet,our_resolver,2026-06-26T20:36:10.833830
Alpharepo,alpharepo.com,https://www.linkedin.com/company/alpharepo,clay_fallback,2026-06-26T20:39:34.030117
AQ22,aq22.ai,https://www.linkedin.com/company/aq22,clay_fallback,2026-06-26T20:39:34.030142
Auquan,auquan.com,https://www.linkedin.com/company/auquan,clay_fallback,2026-06-26T20:39:34.030159
Captide,captide.ai,https://www.linkedin.com/company/captide,clay_fallback,2026-06-26T20:39:34.030182
Ahead Innovation Labs,aheadinnovationlabs.com,https://www.linkedin.com/company/ahead-innovation-laboratories,clay_fallback,2026-06-26T20:44:12.048524
Alpharepo,alpharepo.com,https://www.linkedin.com/company/alpharepo,clay_fallback,2026-06-26T20:44:12.049322
AQ22,aq22.ai,https://www.linkedin.com/company/aq22,clay_fallback,2026-06-26T20:44:12.049355
Auquan,auquan.com,https://www.linkedin.com/company/auquan,clay_fallback,2026-06-26T20:44:12.049373
Captide,captide.ai,https://www.linkedin.com/company/captide,clay_fallback,2026-06-26T20:44:12.049402
Carousel,usecarousel.com,https://www.linkedin.com/company/carousel-tech,clay_fallback,2026-06-26T20:44:12.049422
Causality AI,causaility.ai,https://www.linkedin.com/company/causaility-ai,clay_fallback,2026-06-26T20:44:12.049446
Captide,https://www.captide.ai/,https://www.linkedin.com/company/captide,clay_fallback,2026-07-09T17:04:12.108422
Carousel,https://usecarousel.com/,https://www.linkedin.com/company/carousel-tech,clay_fallback,2026-07-09T17:04:12.108939
Causality AI,https://causaility.ai/,https://www.linkedin.com/company/causaility-ai,clay_fallback,2026-07-09T17:04:12.108957
